age,salary,debt,loans_count,work_years,approved
22,2000,5000,1,1,0
23,2200,6000,1,1,0
24,2500,7000,2,2,0
25,2800,8000,2,2,0
26,3000,9000,2,3,0
27,3200,10000,3,3,0
28,3500,11000,3,4,0
29,3800,12000,3,4,0
30,4000,13000,4,5,0
31,4200,14000,4,5,0
32,4500,15000,4,6,0
33,4800,16000,5,6,0
34,5000,17000,5,7,0
35,5500,18000,5,8,1
36,6000,19000,6,8,1
37,6500,20000,6,9,1
38,7000,21000,6,10,1
39,7500,22000,7,10,1
40,8000,23000,7,11,1
41,8500,24000,7,12,1
42,9000,25000,8,12,1
43,9500,26000,8,13,1
44,10000,27000,8,14,1
45,10500,28000,9,15,1
23,2100,5500,1,1,0
24,2300,6500,1,1,0
25,2600,7500,2,2,0
26,2900,8500,2,2,0
27,3100,9500,2,3,0
28,3400,10500,3,3,0
29,3700,11500,3,4,0
30,3900,12500,3,4,0
31,4100,13500,4,5,0
32,4400,14500,4,6,0
33,4700,15500,4,6,0
34,5200,16500,5,7,1
35,5800,17500,5,8,1
36,6200,18500,6,8,1
37,6800,19500,6,9,1
38,7200,20500,6,10,1
39,7800,21500,7,10,1
40,8200,22500,7,11,1
41,8700,23500,7,12,1
42,9200,24500,8,12,1
43,9700,25500,8,13,1
44,10200,26500,8,14,1
45,10800,27500,9,15,1
22,1900,4800,1,1,0
23,2000,5200,1,1,0
24,2400,6200,2,2,0
25,2700,7200,2,2,0
26,3000,8200,2,3,0
27,3300,9200,3,3,0
28,3600,10200,3,4,0
29,3900,11200,3,4,0
30,4200,12200,4,5,0
31,4600,13200,4,5,0
32,5000,14200,4,6,0
33,5400,15200,5,6,1
34,5900,16200,5,7,1
35,6300,17200,6,8,1
36,6900,18200,6,8,1
37,7400,19200,6,9,1
38,7900,20200,7,10,1
39,8300,21200,7,10,1
40,8800,22200,7,11,1
41,9300,23200,8,12,1
42,9800,24200,8,12,1
43,10300,25200,8,13,1
44,10900,26200,9,14,1
45,11500,27200,9,15,1
